sampleId	date	NH3-N	NO2-N	NO3-N	pH	Temp_F	cATP		
Sample_1	2020-10-16	0	0.13	62.3	7.4	99	1630		
Sample_2	2020-10-21	0	0	66.9	7.4	97	1600		
Sample_3	2020-10-21	0	0	66.9	7.4	97	1600		
Sample_4	2020-10-21	0	0	66.9	7.4	97	1600		
Sample_5	2020-10-28	0	0	78.2	7.4	91	1540		
Sample_6	2020-10-28	0	0	78.2	7.4	91	1540		
Sample_7	2020-10-28	0	0	78.2	7.4	91	1540		
Sample_8	2020-11-04	0	0.007	81.5	7.4	93	1860		
Sample_9	2020-11-04	0	0.007	81.5	7.4	93	1860		
Sample_10	2020-11-04	0	0.007	81.5	7.4	93	1860		
